link,street,city,state,zip,square_feet,price,bedrooms,bathroom,type,,,,,,,,,,
https://www.trulia.com/property/3268746468-183-Halladay-St-Jersey-City-NJ-07304,183 Halladay St,Jersey City,NJ,7304,n/a,"435,000",4 Bedrooms,"1 full, 1 partial Bathrooms",Single-Family Home,,,,,,,,,,
https://www.trulia.com/property/3268746223-51-5-Gardner-Ave-Jersey-City-NJ-07304,51.5 Gardner Ave,Jersey City,NJ,7304,n/a,"320,635",Single-Family Home,,,,,,,,,,,,
https://www.trulia.com/property/3268740408-15-Emory-St-Jersey-City-NJ-07304,15 Emory St,Jersey City,NJ,7304,n/a,"629,000",3 Bedrooms,"1 full, 1 partial Bathrooms",Townhouse,Refrigerator,Dishwasher,Microwave,,,,,,,
https://www.trulia.com/property/3262710092-223-Ogden-Ave-Jersey-City-NJ-07307,223 Ogden Ave,Jersey City,NJ,7307,"1,656","570,000",3 Bedrooms,1 full Bathroom,Single-Family Home,Deck,,,,,,,,,
https://www.trulia.com/property/3262875817-187-Wayne-St-401-C-Jersey-City-NJ-07302,187 Wayne St #401 C,Jersey City,NJ,7302,815,"585,000",1 Bedroom,1 full Bathroom,Condo,Refrigerator,Dishwasher,Washer,Dryer,,,,,,
https://www.trulia.com/property/3053415607-270-Harrison-Ave-306-Jersey-City-NJ-07304,270 Harrison Ave #306,Jersey City,NJ,7304,655,"139,000",1 Bedroom,1 full Bathroom,Condo,Refrigerator,,,,,,,,,
https://www.trulia.com/property/3170111903-149-Essex-St-3N-Jersey-City-NJ-07302,149 Essex St #3N,Jersey City,NJ,7302,704,"549,000",1 Bedroom,2 full Bathrooms,Condo,Doorman,,,,,,,,,
https://www.trulia.com/property/3218762571-1884-John-F-Kennedy-Blvd-Jersey-City-NJ-07305,1884 John F Kennedy Blvd,Jersey City,NJ,7305,n/a,"659,900",7 Bedrooms,7 full Bathrooms,Multi-Family,Air Conditioning,,,,,,,,,
https://www.trulia.com/property/3262710901-120-Lincoln-St-Jersey-City-NJ-07307,120 Lincoln St,Jersey City,NJ,7307,"1,200","399,999",3 Bedrooms,2 full Bathrooms,Condo,Air Conditioning,Attic,,,,,,,,
https://www.trulia.com/property/3262747131-75-Fairview-Ave-34-Jersey-City-NJ-07304,75 Fairview Ave #34,Jersey City,NJ,7304,941,"250,000",2 Bedrooms,1 full Bathroom,Condo,,,,,,,,,,
