link,street,city,state,zip,year,price
https://www.trulia.com/property/1082889767-194-Woodlawn-Ave-Jersey-City-NJ-07305,194 Woodlawn Ave,Jersey City,NJ,7305,1945.0,150000.0
https://www.trulia.com/property/3032086486-78-Wayne-St-201-Jersey-City-NJ-07302,78 Wayne St #201,Jersey City,NJ,7302,2011.0,985000.0
https://www.trulia.com/property/3255376230-133-Bidwell-Ave-Jersey-City-NJ-07305,133 Bidwell Ave,Jersey City,NJ,7305,1920.0,340000.0
https://www.trulia.com/property/1071861294-106-Duncan-Ave-2R-Jersey-City-NJ-07306,106 Duncan Ave #2R,Jersey City,NJ,7306,1905.0,234000.0
https://www.trulia.com/property/1053868586-10-Oakdale-Rd-Jersey-City-NJ-07305,10 Oakdale Rd,Jersey City,NJ,7305,1963.0,304900.0
https://www.trulia.com/property/3064375473-149-Essex-St-4E-Jersey-City-NJ-07302,149 Essex St #4E,Jersey City,NJ,7302,2005.0,575000.0
https://www.trulia.com/property/1073328075-294-Randolph-Ave-Jersey-City-NJ-07304,294 Randolph Ave,Jersey City,NJ,7304,2007.0,363864.0
https://www.trulia.com/property/3221062739-1-2nd-St-1910-Jersey-City-NJ-07302,1 2nd St #1910,Jersey City,NJ,7302,2005.0,659000.0
https://www.trulia.com/property/3259677032-277-Saint-Pauls-Ave-Jersey-City-NJ-07306,277 Saint Pauls Ave,Jersey City,NJ,7306,1895.0,279239.0
https://www.trulia.com/property/3246754313-311-Washington-St-6B-Jersey-City-NJ-07302,311 Washington St #6B,Jersey City,NJ,7302,2007.0,815000.0
https://www.trulia.com/property/3254722644-87-Merseles-St-Jersey-City-NJ-07302,87 Merseles St,Jersey City,NJ,7302,1988.0,850000.0
https://www.trulia.com/property/3034154985-689-Luis-Munoz-Marin-Blvd-710-Jersey-City-NJ-07310,689 Luis Munoz Marin Blvd #710,Jersey City,NJ,7310,1980.0,484900.0
https://www.trulia.com/property/3234539849-429-Fairmount-Ave-103-Jersey-City-NJ-07306,429 Fairmount Ave #103,Jersey City,NJ,7306,1925.0,140000.0
https://www.trulia.com/property/3259322123-93-Magnolia-Ave-3L-Jersey-City-NJ-07306,93 Magnolia Ave #3L,Jersey City,NJ,7306,1897.0,435000.0
https://www.trulia.com/property/3243002845-162-Clerk-St-3-Jersey-City-NJ-07305,162 Clerk St #3,Jersey City,NJ,7305,1967.0,144900.0
https://www.trulia.com/property/3259550694-332-5-5th-St-Jersey-City-NJ-07302,332.5 5th St,Jersey City,NJ,7302,1908.0,879000.0
https://www.trulia.com/property/3258602450-1-Willow-St-Jersey-City-NJ-07305,1 Willow St,Jersey City,NJ,7305,1993.0,480000.0
https://www.trulia.com/property/3258234784-160-Saint-Pauls-Ave-Jersey-City-NJ-07306,160 Saint Pauls Ave,Jersey City,NJ,7306,1920.0,689000.0
https://www.trulia.com/property/3216922266-215-South-St-Jersey-City-NJ-07307,215 South St,Jersey City,NJ,7307,2006.0,759000.0
https://www.trulia.com/property/3207422691-21-Zabriskie-St-Jersey-City-NJ-07307,21 Zabriskie St,Jersey City,NJ,7307,1900.0,364000.0
https://www.trulia.com/property/3258360369-1-2nd-St-904-Jersey-City-NJ-07302,1 2nd St #904,Jersey City,NJ,7302,2000.0,985000.0
https://www.trulia.com/property/3257951968-30-Williams-Ave-Jersey-City-NJ-07304,30 Williams Ave,Jersey City,NJ,7304,1901.0,450000.0
https://www.trulia.com/property/3255644128-15-Freedomway-Jersey-City-NJ-07305,15 Freedomway,Jersey City,NJ,7305,2005.0,369000.0
https://www.trulia.com/property/3255496981-23-Van-Houten-Ave-Jersey-City-NJ-07305,23 Van Houten Ave,Jersey City,NJ,7305,1924.0,255976.0
https://www.trulia.com/property/3145720194-129-Fulton-Ave-Jersey-City-NJ-07305,129 Fulton Ave,Jersey City,NJ,7305,2006.0,348772.0
https://www.trulia.com/property/3039087089-66-Morris-St-401-Jersey-City-NJ-07302,66 Morris St #401,Jersey City,NJ,7302,2011.0,829900.0
https://www.trulia.com/property/3207472905-608-Bramhall-Ave-1B-Jersey-City-NJ-07304,608 Bramhall Ave #1B,Jersey City,NJ,7304,1910.0,169900.0
https://www.trulia.com/property/3255573444-401-Ogden-Ave-Jersey-City-NJ-07307,401 Ogden Ave,Jersey City,NJ,7307,1890.0,503496.0
https://www.trulia.com/property/3254887297-1-2nd-St-903-Jersey-City-NJ-07302,1 2nd St #903,Jersey City,NJ,7302,2007.0,785000.0
https://www.trulia.com/property/1073889185-307-Old-Bergen-Rd-Jersey-City-NJ-07305,307 Old Bergen Rd,Jersey City,NJ,7305,1900.0,379900.0
https://www.trulia.com/property/3240153399-427-Liberty-Ave-Jersey-City-NJ-07307,427 Liberty Ave,Jersey City,NJ,7307,1901.0,439500.0
https://www.trulia.com/property/3235797739-343-Mercer-Loop-Jersey-City-NJ-07302,343 Mercer Loop,Jersey City,NJ,7302,1981.0,1423262.0
https://www.trulia.com/property/3256476620-36-Hancock-Ave-2-Jersey-City-NJ-07307,36 Hancock Ave #2,Jersey City,NJ,7307,2016.0,624999.0
https://www.trulia.com/property/3233560927-109-Bowers-St-3-Jersey-City-NJ-07307,109 Bowers St #3,Jersey City,NJ,7307,1880.0,224900.0
