link,street,city,state,zip,year,price
https://www.trulia.com/property/1069053272-7-Manhattan-Ave-Jersey-City-NJ-07307,7 Manhattan Ave,Jersey City,NJ,7307,n/a,"449,900"
https://www.trulia.com/property/1096308562-42-Van-Wagenen-Ave-12-Jersey-City-NJ-07306,42 Van Wagenen Ave #12,Jersey City,NJ,7306,n/a,"195,000"
https://www.trulia.com/property/3039415415-67-Bright-St-1-Jersey-City-NJ-07302,67 Bright St #1,Jersey City,NJ,7302,n/a,"619,000"
https://www.trulia.com/property/3260697073-149-Bentley-Ave-C2-Jersey-City-NJ-07304,149 Bentley Ave #C2,Jersey City,NJ,7304,n/a,"289,000"
https://www.trulia.com/property/3260654174-135-Montgomery-St-4I-Jersey-City-NJ-07302,135 Montgomery St #4I,Jersey City,NJ,7302,n/a,"499,000"
https://www.trulia.com/property/3262350046-1209-Summit-Ave-410-Jersey-City-NJ-07307,1209 Summit Ave #410,Jersey City,NJ,7307,n/a,"399,000"
https://www.trulia.com/property/3260716498-417-Ogden-Ave-2-Jersey-City-NJ-07307,417 Ogden Ave #2,Jersey City,NJ,7307,n/a,"709,000"
https://www.trulia.com/property/3193172817-167-Wayne-St-207-Jersey-City-NJ-07302,167 Wayne St #207,Jersey City,NJ,7302,n/a,"775,000"
https://www.trulia.com/property/3262126758-260-Harrison-Ave-501-Jersey-City-NJ-07304,260 Harrison Ave #501,Jersey City,NJ,7304,n/a,"185,000"
https://www.trulia.com/property/3160370918-106-Griffith-St-Jersey-City-NJ-07307,106 Griffith St,Jersey City,NJ,7307,1920,"398,888"
https://www.trulia.com/property/3260595970-167-Wayne-St-102A-Jersey-City-NJ-07302,167 Wayne St #102A,Jersey City,NJ,7302,n/a,"719,000"
https://www.trulia.com/property/1069519343-67-Clerk-St-Jersey-City-NJ-07305,67 Clerk St,Jersey City,NJ,7305,n/a,"499,000"
https://www.trulia.com/property/3260196231-138-1-2-Broadway-Jersey-City-NJ-07306,138 1/2 Broadway,Jersey City,NJ,7306,1900,"369,900"
https://www.trulia.com/property/3260063720-379-Communipaw-Ave-Jersey-City-NJ-07304,379 Communipaw Ave,Jersey City,NJ,7304,n/a,"200,000"
https://www.trulia.com/property/3074946073-117-Kensington-Ave-301-Jersey-City-NJ-07304,117 Kensington Ave #301,Jersey City,NJ,7304,n/a,"274,900"
https://www.trulia.com/property/3262422301-88-Morgan-St-802-Jersey-City-NJ-07302,88 Morgan St #802,Jersey City,NJ,7302,n/a,"718,888"
https://www.trulia.com/property/3110302349-246-Randolph-Ave-Jersey-City-NJ-07304,246 Randolph Ave,Jersey City,NJ,7304,n/a,"200,000"
https://www.trulia.com/property/3039244336-161-Pearsall-Ave-Jersey-City-NJ-07305,161 Pearsall Ave,Jersey City,NJ,7305,n/a,"388,000"
https://www.trulia.com/property/3261584175-277-Harrison-Ave-A2-Jersey-City-NJ-07304,277 Harrison Ave #A2,Jersey City,NJ,7304,n/a,"129,000"
https://www.trulia.com/property/1073499860-237-Grove-St-Jersey-City-NJ-07302,237 Grove St,Jersey City,NJ,7302,n/a,"1,850,000"
https://www.trulia.com/property/3261701549-4-Beacon-Way-1402-Jersey-City-NJ-07304,4 Beacon Way #1402,Jersey City,NJ,7304,n/a,"470,000"
https://www.trulia.com/property/3261928031-74-Palisade-Ave-5-Jersey-City-NJ-07306,74 Palisade Ave #5,Jersey City,NJ,7306,n/a,"289,000"
