link,street,city,state,zip,square_feet,price,bedrooms,bathroom,type
https://www.trulia.com/property/3261928031-74-Palisade-Ave-5-Jersey-City-NJ-07306,74 Palisade Ave #5,Jersey City,NJ,7306,888.0,289000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3259866111-157-South-St-Jersey-City-NJ-07307,157 South St,Jersey City,NJ,7307,1400.0,418000.0,3 Bedrooms,2 full Bathrooms,Single-Family Home
https://www.trulia.com/property/3114117392-204-6th-St-3L-Jersey-City-NJ-07302,204 6th St #3L,Jersey City,NJ,7302,575.0,420000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3262211789-126-Webster-Ave-3E-Jersey-City-NJ-07307,126 Webster Ave #3E,Jersey City,NJ,7307,1655.0,750000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3260075766-43-Van-Wagenen-Ave-3C-Jersey-City-NJ-07306,43 Van Wagenen Ave #3C,Jersey City,NJ,7306,795.0,309000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3119040299-59-Saint-Pauls-Ave-1L-Jersey-City-NJ-07306,59 Saint Pauls Ave #1L,Jersey City,NJ,7306,1300.0,239000.0,3 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3121400922-306-2nd-St-2A-Jersey-City-NJ-07302,306 2nd St #2A,Jersey City,NJ,7302,911.0,572000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3041893699-33-Long-St-2L-Jersey-City-NJ-07305,33 Long St #2L,Jersey City,NJ,7305,650.0,155000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3259831958-30-Constitution-Way-105-Jersey-City-NJ-07305,30 Constitution Way #105,Jersey City,NJ,7305,750.0,269000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3260399822-187-Wayne-St-402C-Jersey-City-NJ-07302,187 Wayne St #402C,Jersey City,NJ,7302,807.0,539000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3230609764-231-1st-St-1A-Jersey-City-NJ-07302,231 1st St #1A,Jersey City,NJ,7302,1062.0,1065000.0,2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3262008504-277-Harrison-Ave-E7-Jersey-City-NJ-07304,277 Harrison Ave #E7,Jersey City,NJ,7304,1170.0,229000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/1073188602-238-Ogden-Ave-4-Jersey-City-NJ-07307,238 Ogden Ave #4,Jersey City,NJ,7307,734.0,150000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3262321033-88-Morgan-St-1409-Jersey-City-NJ-07302,88 Morgan St #1409,Jersey City,NJ,7302,843.0,709000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3210689852-63-Van-Reipen-Ave-Jersey-City-NJ-07306,63 Van Reipen Ave,Jersey City,NJ,7306,1850.0,899000.0,3 Bedrooms,2 full Bathrooms,Multi-Family
https://www.trulia.com/property/3258097463-96-A-Suburbia-Dr-Jersey-City-NJ-07305,96 A Suburbia Dr,Jersey City,NJ,7305,825.0,177851.0,2 Bedrooms,"1 full, 1 partial Bathrooms",Condo
https://www.trulia.com/property/3236003749-187-Wayne-St-104-C-Jersey-City-NJ-07302,187 Wayne St #104 C,Jersey City,NJ,7302,787.0,499000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3261986238-109-Shearwater-Ct-E-44-Jersey-City-NJ-07305,109 Shearwater Ct E #44,Jersey City,NJ,7305,1035.0,375000.0,1 Bedroom,"1 full, 1 partial Bathrooms",Condo
https://www.trulia.com/property/3259837928-205-10th-St-3A-Jersey-City-NJ-07302,205 10th St #3A,Jersey City,NJ,7302,1680.0,800000.0,2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3260671744-207-Shearwater-Ct-W-54-Jersey-City-NJ-07305,207 Shearwater Ct W #54,Jersey City,NJ,7305,1350.0,419000.0,2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3260528791-608-Bramhall-Ave-1B-Jersey-City-NJ-07304,608 Bramhall Ave #1B,Jersey City,NJ,7304,853.0,169900.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3262171027-149-Grant-Ave-3C-Jersey-City-NJ-07305,149 Grant Ave #3C,Jersey City,NJ,7305,851.0,125000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3208414165-44-Beacon-Ave-1F-Jersey-City-NJ-07306,44 Beacon Ave #1F,Jersey City,NJ,7306,800.0,274000.0,2 Bedrooms,"1 full, 1 partial Bathrooms",Condo
https://www.trulia.com/property/3012072569-126-Dudley-St-220-Jersey-City-NJ-07302,126 Dudley St #220,Jersey City,NJ,7302,1275.0,999000.0,2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3262537419-476-Monmouth-St-402-Jersey-City-NJ-07302,476 Monmouth St #402,Jersey City,NJ,7302,810.0,699000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3002247097-1-Greene-St-M8-Jersey-City-NJ-07302,1 Greene St #M8,Jersey City,NJ,7302,1227.0,798000.0,2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3262500440-238-Ogden-Ave-6-Jersey-City-NJ-07307,238 Ogden Ave #6,Jersey City,NJ,7307,750.0,400000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3259757182-612-Jersey-Ave-2-Jersey-City-NJ-07302,612 Jersey Ave #2,Jersey City,NJ,7302,600.0,450000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3259837119-110-Booraem-Ave-3-Jersey-City-NJ-07307,110 Booraem Ave #3,Jersey City,NJ,7307,1200.0,399000.0,3 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3261665859-100-Prospect-St-205-Jersey-City-NJ-07307,100 Prospect St #205,Jersey City,NJ,7307,394.0,149000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3259764355-88-Morgan-St-3805-Jersey-City-NJ-07302,88 Morgan St #3805,Jersey City,NJ,7302,1486.0,1268888.0,2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3238329767-62-Carlton-Ave-1-Jersey-City-NJ-07306,62 Carlton Ave #1,Jersey City,NJ,7306,2020.0,629000.0,4 Bedrooms,"3 full, 1 partial Bathrooms",Condo
https://www.trulia.com/property/3139527753-349-Pavonia-Ave-1-Jersey-City-NJ-07302,349 Pavonia Ave #1,Jersey City,NJ,7302,887.0,599000.0,2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3262198196-184-5-Stegman-St-Jersey-City-NJ-07305,184 5 Stegman St,Jersey City,NJ,7305,1450.0,205000.0,3 Bedrooms,"1 full, 1 partial Bathrooms",Single-Family Home
https://www.trulia.com/property/3239274485-429-Fairmount-Ave-110-Jersey-City-NJ-07306,429 Fairmount Ave #110,Jersey City,NJ,7306,501.0,149000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3262488607-300-Communipaw-Ave-201-Jersey-City-NJ-07304,300 Communipaw Ave #201,Jersey City,NJ,7304,1006.0,499000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3261329415-81-83-Grand-St-8-Jersey-City-NJ-07302,81-83 Grand St #8,Jersey City,NJ,7302,1036.0,699000.0,1 Bedroom,"1 full, 1 partial Bathrooms",Condo
https://www.trulia.com/property/3187661757-4-Beacon-Way-408-Jersey-City-NJ-07304,4 Beacon Way #408,Jersey City,NJ,7304,1264.0,429000.0,2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3259960023-276-Griffith-St-2-Jersey-City-NJ-07307,276 Griffith St #2,Jersey City,NJ,7307,1367.0,475000.0,3 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/1091740669-74-Palisade-Ave-8-Jersey-City-NJ-07306,74 Palisade Ave #8,Jersey City,NJ,7306,1000.0,265000.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3262149243-120-Sherman-Ave-3D-Jersey-City-NJ-07307,120 Sherman Ave #3D,Jersey City,NJ,7307,770.0,346500.0,1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3207309784-348-Palisade-Ave-202-Jersey-City-NJ-07307,348 Palisade Ave #202,Jersey City,NJ,7307,700.0,198000.0,2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3260798248-305-Whiton-St-201-Jersey-City-NJ-07304,305 Whiton St #201,Jersey City,NJ,7304,800.0,299000.0,1 Bedroom,1 full Bathroom,Condo
