link,street,city,state,zip,square_feet,price,bedrooms,bathroom,type
https://www.trulia.com/property/3262980299-289-Pavonia-Ave-Jersey-City-NJ-07302,289 Pavonia Ave,Jersey City,NJ,7302,n/a,"1,400,000",Single-Family Home,,
https://www.trulia.com/property/1069053272-7-Manhattan-Ave-Jersey-City-NJ-07307,7 Manhattan Ave,Jersey City,NJ,7307,n/a,"449,900",2 Bedrooms,"2 full, 1 partial Bathrooms",Single-Family Home
https://www.trulia.com/property/1096308562-42-Van-Wagenen-Ave-12-Jersey-City-NJ-07306,42 Van Wagenen Ave #12,Jersey City,NJ,7306,530,"195,000",1 Bedroom,Apartment/Condo/Townhouse,
https://www.trulia.com/property/3039415415-67-Bright-St-1-Jersey-City-NJ-07302,67 Bright St #1,Jersey City,NJ,7302,849,"619,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3260697073-149-Bentley-Ave-C2-Jersey-City-NJ-07304,149 Bentley Ave #C2,Jersey City,NJ,7304,"1,064","289,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3260654174-135-Montgomery-St-4I-Jersey-City-NJ-07302,135 Montgomery St #4I,Jersey City,NJ,7302,701,"499,000",2 Bedrooms,1 full Bathroom,Coop
https://www.trulia.com/property/3262350046-1209-Summit-Ave-410-Jersey-City-NJ-07307,1209 Summit Ave #410,Jersey City,NJ,7307,"1,676","399,000",2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3260716498-417-Ogden-Ave-2-Jersey-City-NJ-07307,417 Ogden Ave #2,Jersey City,NJ,7307,"1,246","709,000",3 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3193172817-167-Wayne-St-207-Jersey-City-NJ-07302,167 Wayne St #207,Jersey City,NJ,7302,"1,055","775,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3262126758-260-Harrison-Ave-501-Jersey-City-NJ-07304,260 Harrison Ave #501,Jersey City,NJ,7304,617,"185,000",1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3160370918-106-Griffith-St-Jersey-City-NJ-07307,106 Griffith St,Jersey City,NJ,7307,918,"398,888",3 Bedrooms,3 full Bathrooms,Single-Family Home
https://www.trulia.com/property/3260595970-167-Wayne-St-102A-Jersey-City-NJ-07302,167 Wayne St #102A,Jersey City,NJ,7302,"1,654","719,000",2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/1069519343-67-Clerk-St-Jersey-City-NJ-07305,67 Clerk St,Jersey City,NJ,7305,n/a,"499,000",3 full Bathrooms,Multi-Family,
https://www.trulia.com/property/3260196231-138-1-2-Broadway-Jersey-City-NJ-07306,138 1/2 Broadway,Jersey City,NJ,7306,n/a,"369,900",3 Bedrooms,"1 full, 1 partial Bathrooms",Single-Family Home
https://www.trulia.com/property/3260063720-379-Communipaw-Ave-Jersey-City-NJ-07304,379 Communipaw Ave,Jersey City,NJ,7304,n/a,"200,000",Lot,,
https://www.trulia.com/property/3074946073-117-Kensington-Ave-301-Jersey-City-NJ-07304,117 Kensington Ave #301,Jersey City,NJ,7304,"1,373","274,900",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3262422301-88-Morgan-St-802-Jersey-City-NJ-07302,88 Morgan St #802,Jersey City,NJ,7302,837,"718,888",1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3110302349-246-Randolph-Ave-Jersey-City-NJ-07304,246 Randolph Ave,Jersey City,NJ,7304,n/a,"200,000",Lot,,
https://www.trulia.com/property/3039244336-161-Pearsall-Ave-Jersey-City-NJ-07305,161 Pearsall Ave,Jersey City,NJ,7305,n/a,"388,000",6 Bedrooms,3 full Bathrooms,Multi-Family
https://www.trulia.com/property/3261584175-277-Harrison-Ave-A2-Jersey-City-NJ-07304,277 Harrison Ave #A2,Jersey City,NJ,7304,761,"129,000",1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/1073499860-237-Grove-St-Jersey-City-NJ-07302,237 Grove St,Jersey City,NJ,7302,n/a,"1,850,000",4 Bedrooms,4 full Bathrooms,Multi-Family
https://www.trulia.com/property/3261701549-4-Beacon-Way-1402-Jersey-City-NJ-07304,4 Beacon Way #1402,Jersey City,NJ,7304,"1,280","470,000",2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3261928031-74-Palisade-Ave-5-Jersey-City-NJ-07306,74 Palisade Ave #5,Jersey City,NJ,7306,888,"289,000",1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3260697580-476-Liberty-Ave-Jersey-City-NJ-07307,476 Liberty Ave,Jersey City,NJ,7307,n/a,"422,500",3 Bedrooms,1 full Bathroom,Single-Family Home
https://www.trulia.com/property/3259727744-628-Communipaw-Ave-Jersey-City-NJ-07304,628 Communipaw Ave,Jersey City,NJ,7304,n/a,"400,000",Lot,,
https://www.trulia.com/property/3259866111-157-South-St-Jersey-City-NJ-07307,157 South St,Jersey City,NJ,7307,"1,400","418,000",3 Bedrooms,2 full Bathrooms,Single-Family Home
https://www.trulia.com/property/3114117392-204-6th-St-3L-Jersey-City-NJ-07302,204 6th St #3L,Jersey City,NJ,7302,575,"420,000",1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/1034049675-122-Van-Nostrand-Ave-Jersey-City-NJ-07305,122 Van Nostrand Ave,Jersey City,NJ,7305,n/a,"299,000",4 Bedrooms,3 full Bathrooms,Multi-Family
https://www.trulia.com/property/3262028800-48-Rutgers-Ave-Jersey-City-NJ-07305,48 Rutgers Ave,Jersey City,NJ,7305,n/a,"249,000",4 Bedrooms,"2 full, 1 partial Bathrooms",Multi-Family
https://www.trulia.com/property/3260786407-387-Monmouth-St-Jersey-City-NJ-07302,387 Monmouth St,Jersey City,NJ,7302,n/a,"1,599,000",4 Bedrooms,4 full Bathrooms,Multi-Family
https://www.trulia.com/property/3262211789-126-Webster-Ave-3E-Jersey-City-NJ-07307,126 Webster Ave #3E,Jersey City,NJ,7307,"1,655","750,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3261172473-243-Arlington-Ave-Jersey-City-NJ-07305,243 Arlington Ave,Jersey City,NJ,7305,n/a,"68,000",Lot,,
https://www.trulia.com/property/3115179020-260-Harrison-Ave-207-Jersey-City-NJ-07304,260 Harrison Ave #207,Jersey City,NJ,7304,n/a,"274,000",2 Bedrooms,2 full Bathrooms,Single-Family Home
https://www.trulia.com/property/3243143269-9-Seidler-St-Jersey-City-NJ-07304,9 Seidler St,Jersey City,NJ,7304,n/a,"169,000",Lot,,
https://www.trulia.com/property/3260685686-56-Erie-St-Jersey-City-NJ-07302,56 Erie St,Jersey City,NJ,7302,n/a,"899,000",2 Bedrooms,2 full Bathrooms,Single-Family Home
https://www.trulia.com/property/3260075766-43-Van-Wagenen-Ave-3C-Jersey-City-NJ-07306,43 Van Wagenen Ave #3C,Jersey City,NJ,7306,795,"309,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3261247123-492-Liberty-Ave-Jersey-City-NJ-07307,492 Liberty Ave,Jersey City,NJ,7307,n/a,"869,998",6 Bedrooms,"4 full, 1 partial Bathrooms",Multi-Family
https://www.trulia.com/property/3231241682-40-Sycamore-Rd-Jersey-City-NJ-07305,40 Sycamore Rd,Jersey City,NJ,7305,n/a,"339,000",3 Bedrooms,2 full Bathrooms,Single-Family Home
https://www.trulia.com/property/3229851569-464-466-Pacific-Ave-Jersey-City-NJ-07304,464-466 Pacific Ave,Jersey City,NJ,7304,948,"160,428",Single-Family Home,,
https://www.trulia.com/property/3119040299-59-Saint-Pauls-Ave-1L-Jersey-City-NJ-07306,59 Saint Pauls Ave #1L,Jersey City,NJ,7306,"1,300","239,000",3 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3146899605-208-Clendenny-Ave-Jersey-City-NJ-07304,208 Clendenny Ave,Jersey City,NJ,7304,n/a,"85,000",Multi-Family,,
https://www.trulia.com/property/3121400922-306-2nd-St-2A-Jersey-City-NJ-07302,306 2nd St #2A,Jersey City,NJ,7302,911,"572,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3041893699-33-Long-St-2L-Jersey-City-NJ-07305,33 Long St #2L,Jersey City,NJ,7305,650,"155,000",1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3259831958-30-Constitution-Way-105-Jersey-City-NJ-07305,30 Constitution Way #105,Jersey City,NJ,7305,750,"269,000",1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3261499601-54-Glenwood-Ave-46-Jersey-City-NJ-07306,54 Glenwood Ave #46,Jersey City,NJ,7306,n/a,"239,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3260399822-187-Wayne-St-402C-Jersey-City-NJ-07302,187 Wayne St #402C,Jersey City,NJ,7302,807,"539,000",1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3261662399-237-Wegman-Pkwy-Jersey-City-NJ-07305,237 Wegman Pkwy,Jersey City,NJ,7305,n/a,"275,000",5 Bedrooms,2 full Bathrooms,Multi-Family
https://www.trulia.com/property/3260756950-237-Bartholdi-Ave-Jersey-City-NJ-07305,237 Bartholdi Ave,Jersey City,NJ,7305,n/a,"330,000",5 Bedrooms,3 full Bathrooms,Multi-Family
https://www.trulia.com/property/1039493006-206-Shearwater-Ct-W-51-Jersey-City-NJ-07305,206 Shearwater Ct W #51,Jersey City,NJ,7305,"1,100","359,000",2 Bedrooms,Apartment/Condo/Townhouse,
https://www.trulia.com/property/3230609764-231-1st-St-1A-Jersey-City-NJ-07302,231 1st St #1A,Jersey City,NJ,7302,"1,062","1,065,000",2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3262008504-277-Harrison-Ave-E7-Jersey-City-NJ-07304,277 Harrison Ave #E7,Jersey City,NJ,7304,"1,170","229,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3261846586-52-Beacon-Ave-Jersey-City-NJ-07306,52 Beacon Ave,Jersey City,NJ,7306,n/a,"600,000",6 Bedrooms,3 full Bathrooms,Multi-Family
https://www.trulia.com/property/1073188602-238-Ogden-Ave-4-Jersey-City-NJ-07307,238 Ogden Ave #4,Jersey City,NJ,7307,734,"150,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3017483639-15-Bleecker-St-Jersey-City-NJ-07307,15 Bleecker St,Jersey City,NJ,7307,n/a,"753,888",7 Bedrooms,3 full Bathrooms,Multi-Family
https://www.trulia.com/property/3262321033-88-Morgan-St-1409-Jersey-City-NJ-07302,88 Morgan St #1409,Jersey City,NJ,7302,843,"709,000",1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3210689852-63-Van-Reipen-Ave-Jersey-City-NJ-07306,63 Van Reipen Ave,Jersey City,NJ,7306,"1,850","899,000",3 Bedrooms,2 full Bathrooms,Multi-Family
https://www.trulia.com/property/3258097463-96-A-Suburbia-Dr-Jersey-City-NJ-07305,96 A Suburbia Dr,Jersey City,NJ,7305,825,"177,851",2 Bedrooms,"1 full, 1 partial Bathrooms",Condo
https://www.trulia.com/property/3261586155-275-Harrison-Ave-B5-Jersey-City-NJ-07304,275 Harrison Ave #B5,Jersey City,NJ,7304,n/a,"175,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3236003749-187-Wayne-St-104-C-Jersey-City-NJ-07302,187 Wayne St #104 C,Jersey City,NJ,7302,787,"499,000",1 Bedroom,1 full Bathroom,Condo
