street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
106 S 10th St,7107,Newark,NJ,Essex,40.749456,-74.195872,MultiFamily2To4,2015,112886,1902,2052,1631,2,6,4/6/17,40000,273684,neighborhood,Fairmuont
84 W Kinney St,7102,Newark,NJ,Essex,40.729812,-74.180295,Apartment,2015,66710,2016,3001,1600,2,3,8/20/16,420000,275415,neighborhood,South Broad Street
21 N 6th St,7107,Newark,NJ,Essex,40.749073,-74.192231,SingleFamily,2016,155028,1940,2500,1945,1,5,10/25/16,62000,273684,neighborhood,Fairmuont
146 S 11th St,7107,Newark,NJ,Essex,40.749416,-74.196935,SingleFamily,2016,149979,1940,1882,1926,1,5,12/16/16,90000,273684,neighborhood,Fairmuont
32 Boylan St,7106,Newark,NJ,Essex,40.744701,-74.225702,MultiFamily2To4,2015,131574,1940,2613,1745,2,5,2/1/17,180000,275833,neighborhood,Upper Vailsburg
100 Wright St,7114,Newark,NJ,Essex,40.720833,-74.183257,MultiFamily2To4,2015,270426,2002,2613,2558,4,6,8/12/16,250000,275415,neighborhood,South Broad Street
352 7th Ave W,7107,Newark,NJ,Essex,40.754129,-74.188563,MultiFamily2To4,2015,177314,1900,2509,NA,2,4,1/20/17,95000,274372,neighborhood,Lower Roseville
103 Pulaski St,7105,Newark,NJ,Essex,40.722657,-74.158975,MultiFamily5Plus,2015,191438,1916,2613,2850,1,2,12/22/16,270000,274724,neighborhood,North Ironbound
280 Littleton Ave,7103,Newark,NJ,Essex,40.73732,-74.196567,MultiFamily2To4,2015,142656,1914,2613,2628,NA,0,4/11/17,115000,275990,neighborhood,West Side
132 Court St,7103,Newark,NJ,Essex,40.733152,-74.181828,SingleFamily,2015,73121,1915,1812,2603,NA,NA,12/28/16,285000,275519,neighborhood,Springfield-Belmont
54 Elliott St,7104,Newark,NJ,Essex,40.775203,-74.16213,MultiFamily2To4,2015,155476,1915,4567,2080,NA,6,3/3/17,87000,274692,neighborhood,North Broadway
40 Eastern Pkwy,7106,Newark,NJ,Essex,40.741206,-74.238099,SingleFamily,2015,182856,1927,3920,1478,1,3,11/29/16,143352,12970,city,Newark
175 S 7th St,7103,Newark,NJ,Essex,40.742984,-74.196685,MultiFamily2To4,2015,150043,1891,1712,2244,3,4,8/19/16,95000,273684,neighborhood,Fairmuont
37 Rose Ter,7108,Newark,NJ,Essex,40.726748,-74.20094,Townhouse,2016,158681,1930,3463,2591,2,3,8/9/16,340000,275990,neighborhood,West Side
423 18th Ave,7108,Newark,NJ,Essex,40.731018,-74.20153,MultiFamily2To4,2016,164160,1920,9239,2855,2,5,11/7/16,175000,275990,neighborhood,West Side
72 Schuyler Ave,7112,Newark,NJ,Essex,40.715131,-74.209975,MultiFamily2To4,2015,223924,1927,3484,NA,3,7,3/7/17,105000,275941,neighborhood,Weequahic
9 Varsity Rd,7106,Newark,NJ,Essex,40.739238,-74.235713,MultiFamily2To4,2015,202630,1952,5227,2599,3,7,12/1/00,142000,12970,city,Newark
111 Orchard St,7003,Bloomfield,NJ,Essex,40.797444,-74.184908,SingleFamily,2015,469636,1925,7649,4054,NA,NA,4/21/17,520000,3699,city,Bloomfield
52 Merkel Dr,7003,Bloomfield,NJ,Essex,40.845614,-74.180773,SingleFamily,2015,217693,1958,5227,NA,1,2,4/21/17,280000,3699,city,Bloomfield
1614 Hamilton St,7109,Belleville,NJ,Essex,40.799116,-74.173045,Condominium,2015,252786,2008,NA,1100,3,2,4/21/17,265000,37362,city,Belleville
706 Hero Way,7109,Belleville,NJ,Essex,40.798407,-74.171544,SingleFamily,2015,275795,NA,NA,NA,NA,NA,4/21/17,292000,37362,city,Belleville
44 Jessica Way,7079,South Orange,NJ,Essex,40.761184,-74.264674,SingleFamily,2015,622997,1998,10454,2586,4,4,4/20/17,739000,34059,city,South Orange
34 Hickory Dr,7040,Maplewood,NJ,Essex,40.733953,-74.28343,SingleFamily,2015,757831,1908,11761,NA,3.5,5,4/19/17,1300000,39616,city,Maplewood
176 Millburn Ave # C1015,7041,Millburn,NJ,Essex,40.721755,-74.294776,Condominium,2015,326850,1948,NA,NA,1,2,4/19/17,360000,36150,city,Millburn
189 Adelaide St,7109,Belleville,NJ,Essex,40.803884,-74.155571,SingleFamily,2015,256397,1950,3920,1400,2,3,4/19/17,322000,37362,city,Belleville
45 Oak Ln,7044,Verona,NJ,Essex,40.839344,-74.235451,SingleFamily,2015,348371,1955,8120,1425,2,4,4/19/17,400000,14839,city,Cedar Grove
54 S Ashby Ave,7039,Livingston,NJ,Essex,40.792028,-74.323047,SingleFamily,2015,381926,1950,8712,3100,4,4,4/19/17,825000,56428,city,Livingston
14 Forest St # C4302,7042,Montclair,NJ,Essex,40.814334,-74.216087,Condominium,2015,188438,1924,23749,692,1,1,4/19/17,157000,39839,city,Montclair
26 Woodside Rd,7009,CEDAR GROVE,NJ,Essex,40.856779,-74.223548,SingleFamily,2015,486069,1940,8930,1911,2,4,4/19/17,465000,14839,city,Cedar Grove
384 S Harrison St,7018,East Orange,NJ,Essex,40.757227,-74.230914,SingleFamily,2015,199332,1930,8276,1593,3,3,4/18/17,225000,51806,city,East Orange
59 Herbert Ter,7052,West Orange,NJ,Essex,40.773827,-74.296222,Townhouse,2015,305801,1984,NA,1656,2,2,4/18/17,250000,16216,city,West Orange
4 Rawding Ct,7044,Verona,NJ,Essex,40.8455,-74.2419,SingleFamily,NA,NA,2016,10018,NA,5,5,4/18/17,885000,43078,city,Verona
280 Centre St,7110,Nutley,NJ,Essex,40.813579,-74.158103,SingleFamily,2015,265139,1947,3798,NA,2,3,4/18/17,330000,13056,city,Nutley
42 Rutgers St,7040,Maplewood,NJ,Essex,40.721708,-74.265646,SingleFamily,2015,412130,1927,7405,1918,2,3,4/17/17,512000,39616,city,Maplewood
