street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
163 Patricia Pl,7012,Clifton,NJ,Passaic,40.837014,-74.14349,SingleFamily,2015,352941,1940,5662,NA,2,3,4/20/17,355000,24120,city,Clifton
503 Riverdale Blvd,7442,Pompton Lakes,NJ,Passaic,40.984468,-74.291993,SingleFamily,2015,245735,1956,6098,NA,1,4,4/19/17,269000,53952,city,Pompton Lakes
168 Paterson Ave,7502,Paterson,NJ,Passaic,40.919017,-74.188209,MultiFamily2To4,2015,130748,1940,3123,1400,3,5,4/18/17,274000,264176,neighborhood,Totowa
14 Quartz Ln,7501,Paterson,NJ,Passaic,40.904804,-74.181221,Condominium,2014,328100,NA,NA,NA,2,2,4/18/17,200000,19873,city,Paterson
106 Surrey Dr,7470,Wayne,NJ,Passaic,40.966732,-74.259712,SingleFamily,2015,534464,1952,25264,2777,2,3,4/18/17,550000,27808,city,Wayne
322 E 30th St,7504,Paterson,NJ,Passaic,40.915781,-74.145449,MultiFamily2To4,2015,240922,NA,2500,1813,2,5,4/18/17,104000,764248,neighborhood,Eastside
206 Washington Pl,7512,Totowa,NJ,Passaic,40.899422,-74.213417,SingleFamily,2015,268100,1950,4791,NA,1,2,4/18/17,294000,27446,city,Totowa
31 Custer Dr,7456,Ringwood,NJ,Passaic,41.089424,-74.316809,SingleFamily,2015,397213,1984,45737,2300,3,4,4/18/17,380000,47392,city,Ringwood
776 Ringwood Ave,7442,Pompton Lakes,NJ,Passaic,41.002069,-74.29549,SingleFamily,2015,259347,1950,10454,NA,2,2,4/17/17,220000,53952,city,Pompton Lakes
137 Redwood Ave,7470,Wayne,NJ,Passaic,40.979535,-74.2629,SingleFamily,2015,281848,1968,5227,NA,1,3,4/17/17,280000,27808,city,Wayne
17 Iron Forge Vlg S,7442,Pompton Lakes,NJ,Passaic,41.006407,-74.289281,Condominium,2015,240109,1980,NA,NA,2,2,4/17/17,230000,53952,city,Pompton Lakes
210 Lakeside Ave,7442,Pompton Lakes,NJ,Passaic,41.004938,-74.285821,SingleFamily,2015,267333,1930,10454,1593,1,3,4/17/17,215000,53952,city,Pompton Lakes
236 Totowa Rd,7512,Totowa,NJ,Passaic,40.905052,-74.204706,MultiFamily2To4,2015,324100,1950,3484,2044,3,4,4/17/17,355000,27446,city,Totowa
9 Chris Ter,7456,Ringwood,NJ,Passaic,41.080449,-74.255371,SingleFamily,2015,346935,1969,54540,2130,2,4,4/17/17,420200,47392,city,Ringwood
316 3rd St,7011,Clifton,NJ,Passaic,40.878184,-74.146334,SingleFamily,2015,345698,1950,8712,NA,2,4,4/14/17,227000,24120,city,Clifton
17 Vizcaya Ct,7470,Wayne,NJ,Passaic,40.985198,-74.271712,SingleFamily,2015,1110971,NA,NA,NA,5,5,4/14/17,698250,27808,city,Wayne
