street,zip_code,city,state,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
1 Frederick Ct,07656,Park Ridge,NJ,41.033768,-74.043236,SingleFamily,2015,761075.0,2002,11325,3600,3.0,5,04/13/2017,716000,53809,city,Park Ridge
2084 Jones Rd,07024,Fort Lee,NJ,40.85955,-73.977516,SingleFamily,2016,505427.0,1940,N/A,N/A,2.0,4,04/14/2017,410000,11491,city,Fort Lee
111 Upper Saddle River Rd,07645,Montvale,NJ,41.065915,-74.065012,SingleFamily,2015,691844.0,1960,N/A,N/A,3.0,4,04/19/2017,855000,25968,city,Montvale
205 Union Ave,07075,Wood Ridge,NJ,40.850826,-74.096623,SingleFamily,2015,329117.0,1960,5000,1600,2.0,3,04/19/2017,415000,48563,city,Wood Ridge
355 Bradley Ave,07647,Northvale,NJ,41.013298,-73.949707,SingleFamily,2015,384355.0,1950,N/A,N/A,2.0,4,04/19/2017,475000,33185,city,Northvale
144 Ridge Ave,07656,Park Ridge,NJ,41.040894,-74.052779,SingleFamily,2015,453824.0,1900,25110,2115,3.0,5,04/19/2017,426000,53809,city,Park Ridge
9 Judith Pl,07621,Bergenfield,NJ,40.91733,-74.00434,SingleFamily,2015,280354.0,1968,5301,1355,2.0,3,04/19/2017,285000,44137,city,Bergenfield
21 W Pierrepont Ave,07070,Rutherford,NJ,40.823896,-74.115095,SingleFamily,2015,441400.0,1927,5663,1918,3.0,4,04/19/2017,638900,26885,city,Rutherford
302 Werimus Rd,07677,Woodcliff Lake,NJ,41.032841,-74.065552,SingleFamily,2015,1453463.0,2000,65340,5404,6.0,5,04/19/2017,1500000,21367,city,Woodcliff Lake
88 Woodland Park Dr,07670,Tenafly,NJ,40.911826,-73.95649,SingleFamily,2015,1027458.0,N/A,N/A,2688,3.5,4,04/19/2017,1245000,47961,city,Tenafly
77 W Edsall Ave,07650,Palisades Park,NJ,40.845879,-74.003297,SingleFamily,2015,403592.0,1953,5001,1361,2.0,3,04/19/2017,725000,19819,city,Palisades Park
13 Denison Dr E,07458,Saddle River,NJ,41.029315,-74.075845,SingleFamily,2015,2260042.0,1962,101930,4600,6.0,5,04/19/2017,1720000,9501,city,Saddle River
32 E Ruby Ave,07650,Palisades Park,NJ,40.842575,-74.000106,SingleFamily,2015,504571.0,1945,6700,1984,N/A,N/A,04/19/2017,790000,19819,city,Palisades Park
3913 Melville Ct,07430,Mahwah,NJ,41.069084,-74.162216,SingleFamily,2015,291645.0,N/A,N/A,N/A,1.0,2,04/19/2017,300000,12515,city,Mahwah
9 Shelby St,07628,Dumont,NJ,40.937181,-73.983074,SingleFamily,2015,324214.0,N/A,N/A,N/A,2.0,3,04/19/2017,474000,17827,city,Dumont
1507 Hudson Park,07020,Edgewater,NJ,40.718494,-74.034373,SingleFamily,2015,442208.0,2007,N/A,746,N/A,N/A,04/17/2017,500000,275730,neighborhood,The Waterfront
28B Cleveland Pl # 2,07650,Palisades Park,NJ,40.847747,-73.998444,Condominium,2015,609375.0,2010,N/A,3300,4.0,4,04/19/2010,667000,19819,city,Palisades Park
270 Greenridge Rd,07417,Franklin Lakes,NJ,41.029743,-74.190246,SingleFamily,2015,758133.0,1959,43560,2500,4.0,3,04/19/2017,600000,11527,city,Franklin Lakes
811 Golf Pl,07649,Oradell,NJ,40.969167,-74.03175,SingleFamily,2015,850499.0,1968,21117,3915,4.0,5,04/19/2017,799000,26308,city,Oradell
29 N Lyle Ave,07670,Tenafly,NJ,40.92551,-73.979552,SingleFamily,2015,577071.0,1933,7018,2082,3.0,4,04/19/2017,590000,47961,city,Tenafly
7 Eldorado Ct,07662,Rochelle Park,NJ,40.910065,-74.078708,SingleFamily,2015,307600.0,1955,5218,1362,2.0,3,04/19/2017,294000,20206,city,Rochelle Park
133 Circle Ave,07450,Ridgewood,NJ,40.973509,-74.102647,SingleFamily,2015,608169.0,N/A,N/A,N/A,3.0,4,04/19/2017,750000,20176,city,Ridgewood
44 Cedar Ave,07607,Maywood,NJ,40.912538,-74.05536,SingleFamily,2015,326335.0,1940,6200,1371,2.0,3,04/19/2017,340000,22369,city,Maywood
119 Eagle Ave,07646,New Milford,NJ,40.948989,-74.017033,SingleFamily,2015,758546.0,2012,8002,2868,5.0,4,04/19/2017,650000,19592,city,New Milford
168 Kemah Rd,07450,Ridgewood,NJ,40.9911,-74.123262,SingleFamily,2015,722066.0,1900,8712,8494,4.0,4,04/19/2017,855000,20176,city,Ridgewood
402 Briarwood Ln,07647,Northvale,NJ,41.012737,-73.955645,SingleFamily,2015,555943.0,1960,N/A,N/A,4.0,3,04/19/2017,585000,33185,city,Northvale
501 Weymouth Dr,07481,Wyckoff,NJ,41.004412,-74.186409,SingleFamily,2015,1791000.0,1990,N/A,N/A,6.0,5,04/19/2017,1475000,29390,city,Wyckoff
330 Cedar Hill Ave,07481,Wyckoff,NJ,40.995487,-74.157112,SingleFamily,2015,595500.0,1957,26001,1938,3.0,4,04/19/2017,575000,29390,city,Wyckoff
