street,zip_code,city,state,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
221 Park Ave,07666,Teaneck,NJ,40.870571,-74.018217,SingleFamily,2015,410251.0,1940,5001,2448,4.0,4,04/28/2017,475000,47956,city,Teaneck
77 Hill St,07075,Wood Ridge,NJ,40.843692,-74.086181,SingleFamily,2015,292630.0,1904,4995,1409,2.0,4,04/28/2017,415000,48563,city,Wood Ridge
83 Holland Ave,07627,Demarest,NJ,40.942142,-73.948335,SingleFamily,2015,571395.0,1950,N/A,N/A,6.0,5,04/28/2017,1200000,44903,city,Demarest
59 Louville Ave,07656,Park Ridge,NJ,41.038876,-74.04567,SingleFamily,2015,358938.0,1900,10000,1484,1.0,3,04/28/2017,707500,53809,city,Park Ridge
19 Columbine Rd,07652,Paramus,NJ,40.953009,-74.075332,SingleFamily,2015,549718.0,1968,N/A,1919,4.0,4,04/28/2017,760000,46984,city,Paramus
407 Poets Way,07430,Mahwah,NJ,41.071151,-74.167037,Condominium,2015,285201.0,1980,N/A,N/A,1.0,3,04/28/2017,255000,12515,city,Mahwah
80 Truman Blvd,07436,Oakland,NJ,41.035408,-74.244016,SingleFamily,2015,365670.0,1960,17859,1548,2.0,4,04/27/2017,218000,19724,city,Oakland
1052 Abbott Blvd,07024,Fort Lee,NJ,40.833883,-73.981335,SingleFamily,2015,689715.0,1939,5001,5000,4.0,3,04/27/2017,840000,11491,city,Fort Lee
2008 Beatrice Ct,07430,Mahwah,NJ,41.101441,-74.142458,Townhouse,2015,96017.0,1960,N/A,960,1.0,2,04/27/2017,104000,12515,city,Mahwah
72 Andover Ter,07452,Glen Rock,NJ,40.954933,-74.105325,SingleFamily,2015,430445.0,2016,10498,4785,4.0,5,04/27/2017,1215000,38710,city,Glen Rock
138 Sicomac Ave,07432,Midland Park,NJ,40.989025,-74.150903,SingleFamily,2015,304329.0,1952,8712,1075,1.0,3,04/27/2017,355000,25884,city,Midland Park
196 W Clinton Ave,07670,Tenafly,NJ,40.924413,-73.974652,SingleFamily,2015,455859.0,1900,6852,2172,2.0,3,04/27/2017,625000,47961,city,Tenafly
658 Summit St,07632,Englewood Cliffs,NJ,40.890293,-73.94935,SingleFamily,2015,1293900.0,1959,13909,3168,4.0,3,04/27/2017,1137000,31443,city,Englewood Cliffs
48 Wayne Ave,07661,River Edge,NJ,40.922273,-74.035971,SingleFamily,2015,381878.0,1939,N/A,1798,1.0,3,04/27/2017,424900,43381,city,River Edge
1143 Cumbermeade Rd,07024,Fort Lee,NJ,40.836511,-73.980008,SingleFamily,2015,757662.0,1950,N/A,N/A,4.0,5,04/26/2017,945000,11491,city,Fort Lee
782 Birchwood Dr,07481,Wyckoff,NJ,40.982707,-74.185907,SingleFamily,2015,940700.0,2016,45302,5700,6.0,6,04/26/2017,2175000,29390,city,Wyckoff
67 Woodside Ave,07432,Midland Park,NJ,40.998003,-74.134461,SingleFamily,2015,572312.0,1950,16988,2337,3.0,4,04/26/2017,605000,25884,city,Midland Park
3307 Riverview Ave # 307,07631,Englewood,NJ,40.8799,-73.9882,Condominium,2015,353424.0,2010,N/A,N/A,2.5,2,04/26/2017,390000,11326,city,Englewood
68 Norwood Ave,07644,Lodi,NJ,40.867715,-74.089589,SingleFamily,2015,389433.0,1950,5001,2100,N/A,N/A,04/26/2017,318000,53018,city,Lodi
45 Central Ave,07644,Lodi,NJ,40.871138,-74.085719,MultiFamily2To4,2015,457818.0,N/A,N/A,N/A,4.0,3,04/26/2017,462000,53018,city,Lodi
10 Stony Ridge Dr,07642,Hillsdale,NJ,41.010909,-74.060049,SingleFamily,2015,590211.0,1951,22298,2244,3.0,4,04/26/2017,576000,5169,city,Hillsdale
446 Santiago Ct,07430,Mahwah,NJ,41.090267,-74.166893,Condominium,2015,443118.0,1990,N/A,N/A,3.0,2,04/26/2017,420000,12515,city,Mahwah
314 The Promenade,07020,Edgewater,NJ,40.806492,-73.987177,Condominium,2015,567404.0,2000,N/A,N/A,2.0,3,04/25/2017,672500,9859,city,Edgewater
16 Momar Dr,07621,Bergenfield,NJ,40.935622,-73.981732,SingleFamily,2015,582876.0,2005,5662,2383,4.0,4,04/25/2017,433000,44137,city,Bergenfield
39 Pangborn Pl,07601,Hackensack,NJ,40.893594,-74.041616,SingleFamily,2015,242770.0,1907,4900,1453,2.0,3,04/25/2017,280000,38835,city,Hackensack
269 Adriana St,07663,Saddle Brook,NJ,40.893598,-74.090927,SingleFamily,2015,296364.0,1947,5502,1854,N/A,1,04/25/2017,1000,6877,city,Saddle Brook
23 Fairview Ave,07452,Glen Rock,NJ,40.958082,-74.142618,SingleFamily,2015,490033.0,1920,11848,1715,2.0,3,04/27/2017,620000,38710,city,Glen Rock
132 Harrison Ave,07026,Garfield,NJ,40.870819,-74.100182,MultiFamily2To4,2015,272930.0,1910,8200,2800,3.0,7,04/24/2017,399900,42213,city,Garfield
639 7th St,07071,Lyndhurst,NJ,40.803224,-74.126817,SingleFamily,2015,249300.0,N/A,N/A,N/A,1.0,2,04/24/2017,311600,25687,city,Lyndhurst
583 Abbott Ave,07657,Ridgefield,NJ,40.834212,-74.004417,SingleFamily,2015,413995.0,N/A,N/A,N/A,3.0,3,04/24/2017,570000,22330,city,Ridgefield
256 Engle St,07670,Tenafly,NJ,40.925608,-73.957602,SingleFamily,2015,799803.0,2016,30952,5000,6.0,5,04/24/2017,1805000,47961,city,Tenafly
57 Birchwood Dr,07031,North Arlington,NJ,40.796827,-74.13711,SingleFamily,2015,274800.0,1941,4791,4987,1.0,3,04/24/2017,329000,19654,city,North Arlington
421 Columbia Ave,07010,Cliffside Park,NJ,40.828507,-73.989413,SingleFamily,2015,363177.0,1926,4508,1640,2.0,3,04/24/2017,312500,4131,city,Cliffside Park
49 E Grand Ave,07645,Montvale,NJ,41.041361,-74.021694,SingleFamily,2015,372396.0,1955,9500,1220,1.0,2,04/06/2017,360000,25968,city,Montvale
563 Overlook Pl,07631,Englewood,NJ,40.871028,-73.973018,SingleFamily,2015,449989.0,1948,9178,1324,3.0,3,04/24/2017,291375,11326,city,Englewood
285 Castle Dr,07632,Englewood Cliffs,NJ,40.87489,-73.961509,SingleFamily,2015,884800.0,1963,10454,2670,N/A,4,04/24/2017,750000,31443,city,Englewood Cliffs
187 Woodland Ave,07070,Rutherford,NJ,40.818322,-74.109447,SingleFamily,2015,419700.0,1918,6804,1551,N/A,N/A,04/24/2017,340000,26885,city,Rutherford
449 Stuyvesant Ave,07071,Lyndhurst,NJ,40.810239,-74.129546,SingleFamily,2016,288484.0,1925,4095,1338,3.0,4,04/24/2017,440000,25687,city,Lyndhurst
24 Cambridge Dr,07401,Allendale,NJ,41.022605,-74.132974,SingleFamily,2015,774839.0,1950,29620,3753,3.0,5,04/24/2017,860000,10081,city,Allendale
145 Stuart St,07652,Paramus,NJ,40.937581,-74.0592,SingleFamily,2015,580764.0,1950,N/A,2985,3.0,4,04/24/2017,614600,46984,city,Paramus
39 Hemlock Dr,07652,Paramus,NJ,40.937257,-74.067678,SingleFamily,2015,465154.0,1970,N/A,2307,3.0,3,04/24/2017,390000,46984,city,Paramus
283 Goffle Rd,07450,Ridgewood,NJ,40.980176,-74.14303,SingleFamily,2015,475362.0,1920,10018,N/A,3.0,4,04/24/2017,460000,20176,city,Ridgewood
31 Lindley Ave,07670,Tenafly,NJ,40.916667,-73.969573,SingleFamily,2015,475769.0,1900,5998,1910,3.0,4,04/24/2017,680000,47961,city,Tenafly
231 Main St,07010,Cliffside Park,NJ,40.813998,-73.993151,SingleFamily,2015,279975.0,1922,2613,1698,N/A,N/A,04/24/2017,262500,4131,city,Cliffside Park
240 Riverview Pl,07010,Cliffside Park,NJ,40.812509,-73.994408,MultiFamily2To4,2015,334704.0,1922,2901,1760,2.0,4,04/24/2017,305000,4131,city,Cliffside Park
291 Carlton Ter,07666,Teaneck,NJ,40.890706,-74.015314,SingleFamily,2015,365755.0,1927,5001,2622,2.0,3,04/24/2017,325000,47956,city,Teaneck
8 Lowell Ct # 708,07666,Teaneck,NJ,40.875805,-74.002905,Condominium,2015,345172.0,1983,2087,1910,N/A,N/A,04/24/2017,265000,47956,city,Teaneck
411 2nd St APT B,07650,Palisades Park,NJ,40.849264,-73.994573,SingleFamily,2015,485332.0,2007,5000,1956,N/A,N/A,01/06/2016,850000,19819,city,Palisades Park
101 Grove St,07436,Oakland,NJ,41.01211,-74.243363,SingleFamily,2015,395677.0,1954,19166,N/A,2.0,3,04/24/2017,318750,19724,city,Oakland
162 Clinton St,07607,Maywood,NJ,40.891764,-74.062911,SingleFamily,2015,286662.0,1955,5000,2800,2.0,4,04/24/2017,400000,22369,city,Maywood
106 Debaun Ave,07446,Ramsey,NJ,41.061551,-74.126645,SingleFamily,2015,476567.0,1900,14985,2407,3.0,4,04/24/2017,365000,6679,city,Ramsey
516 Fairway Rd,07450,Ridgewood,NJ,40.980973,-74.101645,SingleFamily,2015,658418.0,1946,6000,1900,4.0,4,04/24/2017,792000,20176,city,Ridgewood
631 Albin St,07666,Teaneck,NJ,40.880879,-74.012418,SingleFamily,2015,302895.0,1930,5001,1766,3.0,4,04/27/2017,387000,47956,city,Teaneck
89 Halstead Ave,07057,Wallington,NJ,40.856345,-74.113982,MultiFamily2To4,2015,327175.0,1900,3746,1702,4.0,8,04/24/2017,499000,50015,city,Wallington
193 Johnson Ave,07628,Dumont,NJ,40.942777,-73.999044,SingleFamily,2015,279621.0,1948,4791,1260,1.0,2,04/24/2017,274900,17827,city,Dumont
465 S Elm St,07607,Maywood,NJ,40.900953,-74.06091,SingleFamily,2015,309758.0,1940,N/A,N/A,2.0,3,04/24/2017,440000,22369,city,Maywood
140 W Englewood Ave APT 5B,07666,Teaneck,NJ,40.900212,-74.004753,MultiFamily2To4,N/A,N/A,N/A,N/A,N/A,1.0,2,N/A,N/A,47956,city,Teaneck
143 Broad Ave,07605,Leonia,NJ,40.855506,-73.991967,SingleFamily,2015,377494.0,N/A,N/A,N/A,2.0,2,04/21/2017,430500,12368,city,Leonia
767 Darlington Ave,07430,Mahwah,NJ,41.071753,-74.177948,SingleFamily,2015,441322.0,N/A,N/A,N/A,1.0,2,04/21/2017,280000,12515,city,Mahwah
745 Greeley Ave,07022,Fairview,NJ,40.824301,-74.007365,SingleFamily,2015,313644.0,1960,5610,2200,3.0,3,04/21/2017,485000,18065,city,Fairview
214 Fairfield Ave,07450,Ridgewood,NJ,40.983542,-74.105097,SingleFamily,2015,780960.0,1940,12196,3123,4.0,5,04/21/2017,1050000,20176,city,Ridgewood
184 Clayton Ter,07652,Paramus,NJ,40.936086,-74.055862,SingleFamily,2015,394051.0,1950,9344,1299,N/A,N/A,04/21/2017,1150000,46984,city,Paramus
1005 Carnation Dr,07646,New Milford,NJ,40.920842,-74.021703,SingleFamily,2015,278244.0,1950,N/A,1414,2.0,4,04/26/2017,362000,19592,city,New Milford
10 Grand St,07675,Westwood,NJ,40.995736,-74.03247,SingleFamily,2015,514749.0,N/A,7500,2231,3.5,4,04/21/2017,557501,27912,city,Westwood
208 Cambridge Ave,07026,Garfield,NJ,40.872352,-74.110711,MultiFamily2To4,2015,219054.0,1960,2178,2000,3.0,4,04/21/2017,345000,42213,city,Garfield
716 6th Ave,07661,River Edge,NJ,40.935902,-74.041648,SingleFamily,2015,506006.0,1950,11249,1807,2.0,3,04/21/2017,347239,43381,city,River Edge
664 Stewart St,07657,Ridgefield,NJ,40.83022,-73.995836,SingleFamily,2015,889751.0,N/A,N/A,N/A,5.0,4,04/21/2017,1125000,22330,city,Ridgefield
251 Post Ave,07071,Lyndhurst,NJ,40.811413,-74.129568,SingleFamily,2015,300500.0,1920,4574,1743,3.0,3,04/21/2017,490000,25687,city,Lyndhurst
58 Mackay Ave,07463,Waldwick,NJ,41.018804,-74.117646,SingleFamily,2015,565600.0,1951,6969,996,4.0,4,04/21/2017,649900,48302,city,Waldwick
49 Park Ave,07031,North Arlington,NJ,40.782295,-74.131692,SingleFamily,2015,274700.0,N/A,N/A,N/A,1.0,2,04/21/2017,291000,19654,city,North Arlington
29A W Harwood Ter # 1,07650,Palisades Park,NJ,40.845294,-74.001166,SingleFamily,2015,576531.0,2005,N/A,2048,N/A,N/A,04/21/2017,655000,19819,city,Palisades Park
78 Manhattan Ave,07463,Waldwick,NJ,41.012331,-74.113125,SingleFamily,2015,339000.0,1957,4791,5001,2.0,3,04/21/2017,375000,48302,city,Waldwick
66 Ramapo River Trce,07436,Oakland,NJ,41.039193,-74.241733,SingleFamily,2015,614219.0,2000,7405,2932,4.0,4,04/21/2017,619888,19724,city,Oakland
15 Woodvale Rd,07452,Glen Rock,NJ,40.952739,-74.108662,SingleFamily,2015,489394.0,1950,N/A,N/A,3.0,5,04/21/2017,581000,38710,city,Glen Rock
66 E Crescent Ave,07446,Ramsey,NJ,41.04953,-74.123186,SingleFamily,2015,116525.0,1900,N/A,200,3.5,4,04/21/2017,613000,43328,city,Upper Saddle River
1114 Boulevard,07646,New Milford,NJ,40.917594,-74.018298,SingleFamily,2015,363935.0,1950,8550,N/A,3.0,4,04/21/2017,325000,19592,city,New Milford
24 Valley Rd,07641,Haworth,NJ,40.955605,-73.986897,SingleFamily,2015,784903.0,2006,13372,2900,3.0,4,04/21/2017,815000,5098,city,Haworth
5 Kearney St,07071,Lyndhurst,NJ,40.821388,-74.122664,SingleFamily,2015,259700.0,1949,4138,1495,2.0,4,04/21/2017,230000,25687,city,Lyndhurst
451 Springfield Ave UNIT 110,07604,Hasbrouck Heights,NJ,40.853595,-74.075294,Condominium,N/A,N/A,N/A,N/A,2200,3.0,2,04/21/2017,430000,38911,city,Hasbrouck Heights
66 Sunset Ct,07430,Mahwah,NJ,41.080825,-74.165548,Condominium,2015,327559.0,1970,30927,1320,3.0,2,04/21/2017,405000,12515,city,Mahwah
322 Cambridge Dr,07446,Ramsey,NJ,41.072194,-74.121824,SingleFamily,2015,320852.0,1993,N/A,1074,N/A,N/A,04/21/2017,335000,6679,city,Ramsey
16 La Rosa Dr,07643,Little Ferry,NJ,40.849924,-74.04859,SingleFamily,2015,373204.0,1972,8276,2008,3.0,4,04/21/2017,419900,46267,city,Little Ferry
234 4th Ave,07675,Westwood,NJ,40.981551,-74.042119,SingleFamily,2015,430362.0,1949,12502,2826,3.0,4,04/21/2017,409000,27912,city,Westwood
442 Argyle St,07649,Oradell,NJ,40.94344,-74.027405,SingleFamily,2015,427291.0,1900,3920,2134,3.0,5,04/21/2017,380000,26308,city,Oradell
641 Lincoln Ave,07607,Maywood,NJ,40.908542,-74.064467,SingleFamily,2015,366559.0,1927,5000,1982,3.0,3,04/21/2017,510000,22369,city,Maywood
379 S Pleasant Ave,07450,Ridgewood,NJ,40.965428,-74.10225,SingleFamily,2015,401016.0,1950,6098,N/A,1.0,4,04/21/2017,440000,20176,city,Ridgewood
