street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
1556 E 2nd St,7076,Scotch Plains,NJ,union,40.642846,-74.401647,SingleFamily,2015,311548,1971,6499,NA,1.5,4,2/16/17,260000,20391,city,Scotch Plains
62 Elmwood Ter,7036,Linden,NJ,union,40.642235,-74.274196,SingleFamily,2015,318722,1960,7840,NA,2.5,3,2/16/17,343500,36718,city,Linden
17 Juniper Way,7081,Springfield,NJ,union,40.69736,-74.350659,SingleFamily,2015,496876,1964,32670,32434,3,4,2/16/17,530000,41030,city,Springfield
145 Bellevue St,7202,Elizabeth,NJ,union,40.660809,-74.235946,SingleFamily,2015,342165,NA,NA,NA,2,4,2/16/17,365000,31388,city,Elizabeth
837 Jerome Ave,7205,Hillside,NJ,union,40.681106,-74.222247,SingleFamily,2015,205226,1944,4791,1344,2,3,2/16/17,258000,55745,city,Hillside
510 Brooklawn Ave APT F1,7203,Roselle,NJ,union,40.641116,-74.268907,Townhouse,2015,85232,NA,548,NA,1,1,2/16/17,53000,13593,city,Roselle
843 Winyah Ave,7090,Westfield,NJ,union,40.663954,-74.340961,SingleFamily,2015,981709,1935,9361,2320,NA,NA,2/15/17,999000,27896,city,Westfield
470 Monroe Ave,7201,Elizabeth,NJ,union,40.67082,-74.207087,MultiFamily2To4,2015,283876,1940,4356,3520,1,2,2/15/17,1200,31388,city,Elizabeth
1041 Cranbrook Rd,7083,Union,NJ,union,40.692357,-74.250849,SingleFamily,2015,237787,1949,5662,1100,2,3,2/14/17,300000,20883,city,Union
408 Jackson Ave,7201,Elizabeth,NJ,union,40.668889,-74.208747,SingleFamily,2015,118849,1890,1947,NA,NA,NA,2/14/17,70000,31388,city,Elizabeth
16 Princeton Rd,7016,Cranford,NJ,union,40.66877,-74.321499,SingleFamily,2015,492628,1958,10890,10795,3,3,2/14/17,561000,31092,city,Cranford
109 Sherbrook Dr,7922,Berkeley Heights,NJ,union,40.663522,-74.448448,SingleFamily,2015,676543,1966,21780,2849,3,5,2/14/17,735000,28407,city,Berkeley Heights
3 Cornell Cir,7066,Clark,NJ,union,40.61546,-74.299153,SingleFamily,2015,304150,1952,6710,1337,2,4,2/15/17,425000,10836,city,Clark
1976 Mountainview Ave,7083,Union,NJ,union,40.70015,-74.264036,SingleFamily,2015,223661,1928,3920,1639,3,3,2/13/17,255000,20883,city,Union
366 Rutgers Ave,7205,Hillside,NJ,union,40.696332,-74.235091,SingleFamily,2015,180004,1926,2613,1320,2,3,2/13/17,217000,55745,city,Hillside
57 Robbinwood Ter,7036,Linden,NJ,union,40.641505,-74.273126,SingleFamily,2015,289264,1950,5000,1617,2,3,2/13/17,279000,36718,city,Linden
512 Hussa St,7036,Linden,NJ,union,40.635495,-74.250211,MultiFamily2To4,2015,251109,1902,5009,2420,2,6,2/12/17,315000,36718,city,Linden
255 Tucker Ave APT 210,7083,Union,NJ,union,40.673216,-74.268876,Townhouse,2015,73573,1971,871,NA,1,1,2/10/17,84000,20883,city,Union
129 Mohawk Dr,7016,Cranford,NJ,union,40.640412,-74.298474,SingleFamily,2015,366721,1942,5994,NA,2,4,2/10/17,440000,31092,city,Cranford
27 N 13th St,7033,Kenilworth,NJ,union,40.676414,-74.298482,SingleFamily,2015,267062,1941,5001,NA,2,3,2/9/17,275500,18815,city,Kenilworth
